RECO	SF	HighPtMuonRecoSF	HighPtMuonRecoSF_Run2017.root	HighPtMuonRecoSF
ID	SF	NUM_TightID_DEN_genTracks	RunBCDEF_SF_ID.root	NUM_TightID_DEN_genTracks_pt_abseta
ISO	SF	NUM_TightRelIso_DEN_TightIDandIPCut	RunBCDEF_SF_ISO.root	NUM_TightRelIso_DEN_TightIDandIPCut_pt_abseta
ID	SF	NUM_HighPtID_DEN_genTracks	RunBCDEF_SF_ID.root	NUM_HighPtID_DEN_genTracks_pair_newTuneP_probe_pt_abseta
ISO	SF	NUM_LooseRelTkIso_DEN_HighPtIDandIPCut	RunBCDEF_SF_ISO.root	NUM_LooseRelTkIso_DEN_HighPtIDandIPCut_pair_newTuneP_probe_pt_abseta
ID	SF	NUM_MediumID_DEN_genTracks	RunBCDEF_SF_ID.root	NUM_MediumID_DEN_genTracks_pt_abseta
ID	SF	HcToWATight	IDSF_MuHcToWAID_2017RunBtoF.root	SF_eta_pt
Trigger	Eff_DATA	IsoMu27_POGTight	EfficienciesAndSF_RunBtoF_Nov17Nov2017.root	IsoMu27_PtEtaBins/efficienciesDATA/pt_abseta_DATA
Trigger	Eff_MC	IsoMu27_POGTight	EfficienciesAndSF_RunBtoF_Nov17Nov2017.root	IsoMu27_PtEtaBins/efficienciesMC/pt_abseta_MC
Trigger	Eff_DATA	Mu50_POGHighPtLooseTrkIso	HighPtMuonTriggerSF_Run2017.root	Eff_Data
Trigger	Eff_MC	Mu50_POGHighPtLooseTrkIso	HighPtMuonTriggerSF_Run2017.root	Eff_MC
Trigger Eff_DATA	Mu50_POGHighPt		MuonTriggerEfficiency_ZprimeToNN_Mu50_Run2017BCDEF_Central.root	TriggerEff_HNDilepton_BCDEF_Data
Trigger Eff_MC		Mu50_POGHighPt		MuonTriggerEfficiency_ZprimeToNN_Mu50_Run2017BCDEF_Central.root	TriggerEff_HNDilepton_BCDEF_MC
Trigger Eff_DATA DiMuIsoMu17_HNTopID   TrigSF_Mu17Leg_TopHNID.root                  muonEffi_data_eta_pt
Trigger Eff_MC   DiMuIsoMu17_HNTopID   TrigSF_Mu17Leg_TopHNID.root                  muonEffi_mc_eta_pt
Trigger Eff_DATA DiMuIsoMu8_HNTopID    TrigSF_Mu8Leg_TopHNID.root                   muonEffi_data_eta_pt
Trigger Eff_MC   DiMuIsoMu8_HNTopID    TrigSF_Mu8Leg_TopHNID.root                   muonEffi_mc_eta_pt
Trigger Eff_DATA EMuIsoMu23_HNTopID    TrigSF_EMuTrigMuLeg_TopHNID.root             hEff_EMuTrigMu23_Data_ALL
Trigger Eff_MC   EMuIsoMu23_HNTopID    TrigSF_EMuTrigMuLeg_TopHNID.root             hEff_EMuTrigMu23_MC_ALL
Trigger Eff_DATA EMuIsoMu8_HNTopID     TrigSF_EMuTrigMuLeg_TopHNID.root             hEff_EMuTrigMu8_Data_ALL
Trigger Eff_MC   EMuIsoMu8_HNTopID     TrigSF_EMuTrigMuLeg_TopHNID.root             hEff_EMuTrigMu8_MC_ALL
