# alias PD xsec nmc sumw
DYJets	DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8	6077.22	95186515	64045437.0
DYJets10to50_MG	DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8	18610	23247050	23247050
DYJetsToEE_MiNNLO	DYJetsToEE_M-50_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1976.17	99796990	83789404.0
DYJetsToMuMu_MiNNLO	DYJetsToMuMu_M-50_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1976.17	89918896	75474850.0
DYJetsToTauTau_MiNNLO	DYJetsToTauTau_M-50_AtLeastOneEorMuDecay_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1147.39	49389971	41466119.0
DYJets_MG	DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	6077.22	104156500	104156500.0
GamGamToLL GamGamToLL-private 13.4 199000 199000.0 
GluGluHToTauTau_M125 GluGluHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8 2.7757 6342000 6276258.0 
GluGluHToWWTo2L2Nu GluGluHToWWTo2L2Nu_M-125_TuneCP5_13TeV-powheg-jhugen727-pythia8 1.0315 2894000 2893804.0 
GluGluHToZZTo4L	GluGluHToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8	0.01212	1000000	989632
GluGluToZZto2e2mu GluGluToContinToZZTo2e2mu_TuneCP5_13TeV-mcfm701-pythia8 0.003194 500000 500000.0 
GluGluToZZto4e GluGluToContinToZZTo4e_TuneCP5_13TeV-mcfm701-pythia8 0.001586 986140 986140.0 
GluGluToZZto4mu GluGluToContinToZZTo4mu_TuneCP5_13TeV-mcfm701-pythia8 0.001586 997445 997445.0 
QCD_Pt_1000to1400 QCD_Pt_1000to1400_TuneCP5_13TeV_pythia8 7.478 19730000 19730000.0 
QCD_Pt_120to170 QCD_Pt_120to170_TuneCP5_13TeV_pythia8 407700 29738000 29738000.0 
QCD_Pt_1400to1800 QCD_Pt_1400to1800_TuneCP5_13TeV_pythia8 0.6486 10922000 10922000.0 
QCD_Pt_15to30 QCD_Pt_15to30_TuneCP5_13TeV_pythia8 1245000000 19910000 19910000.0 
QCD_Pt_170to300 QCD_Pt_170to300_TuneCP5_13TeV_pythia8 103600 29758000 29758000.0 
QCD_Pt_1800to2400 QCD_Pt_1800to2400_TuneCP5_13TeV_pythia8 0.08745 5492000 5492000.0 
QCD_Pt_2400to3200 QCD_Pt_2400to3200_TuneCP5_13TeV_pythia8 0.005235 2964000 2964000.0 
QCD_Pt_300to470 QCD_Pt_300to470_TuneCP5_13TeV_pythia8 6831 57590000 57590000.0 
QCD_Pt_30to50 QCD_Pt_30to50_TuneCP5_13TeV_pythia8 106900000 19738000 19738000.0 
QCD_Pt_3200toInf QCD_Pt_3200toInf_TuneCP5_13TeV_pythia8 0.0001352 1000000 1000000.0 
QCD_Pt_470to600 QCD_Pt_470to600_TuneCP5_13TeV_pythia8 552.2 52960000 52960000.0 
QCD_Pt_50to80 QCD_Pt_50to80_TuneCP5_13TeV_pythia8 15700000 19644000 19644000.0 
QCD_Pt_600to800 QCD_Pt_600to800_TuneCP5_13TeV_pythia8 156.5 67602000 67602000.0 
QCD_Pt_800to1000 QCD_Pt_800to1000_TuneCP5_13TeV_pythia8 26.27 37872000 37872000.0 
QCD_Pt_80to120 QCD_Pt_80to120_TuneCP5_13TeV_pythia8 2339000 29756000 29756000.0 
SSWW SSWW_TuneCP5_13TeV-madgraph-pythia8 0.02794 999000 999000.0 
SingleTop_sch_Lep	ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8	3.36	5471000	3562866
SingleTop_tW_antitop_NoFullyHad	ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.56	3800996	3800814.0
SingleTop_tW_top_NoFullyHad	ST_tW_top_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.56	3361253	3361115.0
SingleTop_tch_antitop_Incl	ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8	80.95	29706000	27964614
SingleTop_tch_top_Incl	ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8	136.02	59478000	55730362
TG_LNu	TGJets_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8	0.989	6174000	1254784
TTG TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 3.697 1425458 508126.0 
TTLJ_powheg TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8 365.34 158834000 157552870.0 
TTLL_powheg TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8 88.29 48254000 47863886.0 
TTTT TTTT_TuneCP5_13TeV-amcatnlo-pythia8 0.009103 4551000 1989534.0 
VBFHToTauTau_M125 VBFHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8 0.237 1500000 1498078.0 
VBFHToWWTo2L2Nu VBFHToWWTo2L2Nu_M125_TuneCP5_13TeV_powheg2_JHUGenV714_pythia8 0.0896 3649705 3644901.0 
VBF_HToZZTo4L	VBF_HToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8	0.001034	465000	464360
VHToNonbb VHToNonbb_M125_TuneCP5_13TeV-amcatnloFXFX_madspin_pythia8 0.952 330462 162308.0 
WGJJToLNu WGJJToLNu-private 0.6074 200000 200000.0 
WGToLNuG WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8 191.3 57428673 34476617.0 
WGToLNuG_MG WGToLNuG_TuneCP5_13TeV-madgraphMLM-pythia8 412.6 8478764 8478764.0 
WJets_MG WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8 61526.7 88463979 88463979.0 
WJets_amcatnlo	WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8	61526.7	27969515	19192389
WWG WWG_TuneCP5_13TeV-amcatnlo-pythia8 0.01398 644000 558082.0 
WWTo2L2Nu_powheg WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8 12.178 2900000 2888924.0 
WWW WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8 0.2086 4371000 3963084.0 
WWZ WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8 0.1651 4544000 4121754.0 
WW_pythia WW_TuneCP5_13TeV-pythia8 118.7 15991000 15991000.0 
WZJJToLNu WZJJ-private 0.01780708628 200000 200000.0 
WZTo3LNu_amcatnlo WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8 5.213 10532228 6949806.0 
WZTo3LNu_mll0p1_powheg WZTo3LNu_mllmin0p1_TuneCP5_13TeV-powheg-pythia8 62.78 29033000 26868886.0 
WZTo3LNu_mllmin4p0_powheg WZTo3LNu_mllmin4p0_TuneCP5_13TeV-powheg-pythia8 4.66 904000 894592.0 
