# alias PD xsec nmc sumw
DYJets	DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8	6077.22	92353657	62138919.0
DYJets10to50_MG	DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8	18610	25693503	25693503
DYJetsToEE_MiNNLO	DYJetsToEE_M-50_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1976.17	119761168	100542610.0
DYJetsToMuMu_MiNNLO	DYJetsToMuMu_M-50_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1976.17	119817995	100593901.0
DYJetsToTauTau_MiNNLO	DYJetsToTauTau_M-50_AtLeastOneEorMuDecay_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1147.39	59620566	50052370.0
DYJets_MG	DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	6077.22	97135662	97135662.0
GamGamToLL GamGamToLL-private 13.4 200000 200000.0 
GluGluHToWWTo2L2Nu GluGluHToWWTo2L2Nu_M125_TuneCP5_13TeV_powheg2_JHUGenV714_pythia8 1.0315 4667000 4666644.0 
GluGluToZZto2e2mu GluGluToContinToZZTo2e2mu_TuneCP5_13TeV-mcfm701-pythia8 0.003194 498000 498000.0 
GluGluToZZto4e GluGluToContinToZZTo4e_TuneCP5_13TeV-mcfm701-pythia8 0.001586 972000 972000.0 
GluGluToZZto4mu GluGluToContinToZZTo4mu_TuneCP5_13TeV-mcfm701-pythia8 0.001586 927966 927966.0 
QCD_Pt_1000to1400 QCD_Pt_1000to1400_TuneCP5_13TeV_pythia8 7.478 19730000 19730000.0 
QCD_Pt_120to170 QCD_Pt_120to170_TuneCP5_13TeV_pythia8 407700 29738000 29738000.0 
QCD_Pt_1400to1800 QCD_Pt_1400to1800_TuneCP5_13TeV_pythia8 0.6486 10922000 10922000.0 
QCD_Pt_15to30 QCD_Pt_15to30_TuneCP5_13TeV_pythia8 1245000000 19910000 19910000.0 
QCD_Pt_170to300 QCD_Pt_170to300_TuneCP5_13TeV_pythia8 103600 29758000 29758000.0 
QCD_Pt_1800to2400 QCD_Pt_1800to2400_TuneCP5_13TeV_pythia8 0.08745 5498000 5498000.0 
QCD_Pt_2400to3200 QCD_Pt_2400to3200_TuneCP5_13TeV_pythia8 0.005235 2999000 2999000.0 
QCD_Pt_300to470 QCD_Pt_300to470_TuneCP5_13TeV_pythia8 6831 57590000 57590000.0 
QCD_Pt_30to50 QCD_Pt_30to50_TuneCP5_13TeV_pythia8 106900000 19808000 19808000.0 
QCD_Pt_3200toInf QCD_Pt_3200toInf_TuneCP5_13TeV_pythia8 0.0001352 1000000 1000000.0 
QCD_Pt_470to600 QCD_Pt_470to600_TuneCP5_13TeV_pythia8 552.2 53000000 53000000.0 
QCD_Pt_50to80 QCD_Pt_50to80_TuneCP5_13TeV_pythia8 15700000 19644000 19644000.0 
QCD_Pt_600to800 QCD_Pt_600to800_TuneCP5_13TeV_pythia8 156.5 67704000 67704000.0 
