# alias PD xsec nmc sumw
DYJets	DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8	6077.22	194627557	130944545.0
DYJets10to50_MG	DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8	18610	68480179	68480179
DYJetsToEE_MiNNLO	DYJetsToEE_M-50_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1976.17	258885723	217328801.0
DYJetsToMuMu_MiNNLO	DYJetsToMuMu_M-50_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1976.17	163242537	137042275.0
DYJetsToTauTau_MiNNLO	DYJetsToTauTau_M-50_AtLeastOneEorMuDecay_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1147.39	44790998	37602676.0
DYJets_MG	DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	6077.22	103287684	103287684.0
GamGamToLL GamGamToLL-private 13.4 395500 395500.0 
GluGluHToTauTau_M125 GluGluHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8 2.7757 12891000 12758302.0 
GluGluHToWWTo2L2Nu GluGluHToWWTo2L2Nu_M125_TuneCP5_13TeV_powheg2_JHUGenV714_pythia8 1.0315 6706000 6705536.0 
GluGluHToZZTo4L	GluGluHToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8	0.01212	998000	987728
GluGluToZZto2e2mu GluGluToContinToZZTo2e2mu_TuneCP5_13TeV-mcfm701-pythia8 0.003194 500000 500000.0 
GluGluToZZto4e GluGluToContinToZZTo4e_TuneCP5_13TeV-mcfm701-pythia8 0.001586 997000 997000.0 
GluGluToZZto4mu GluGluToContinToZZTo4mu_TuneCP5_13TeV-mcfm701-pythia8 0.001586 973630 973630.0 
QCD_Pt_1000to1400 QCD_Pt_1000to1400_TuneCP5_13TeV_pythia8 7.478 19976000 19976000.0 
QCD_Pt_120to170 QCD_Pt_120to170_TuneCP5_13TeV_pythia8 407700 29883000 29883000.0 
QCD_Pt_1400to1800 QCD_Pt_1400to1800_TuneCP5_13TeV_pythia8 0.6486 10961000 10961000.0 
QCD_Pt_15to30 QCD_Pt_15to30_TuneCP5_13TeV_pythia8 1245000000 19994000 19994000.0 
QCD_Pt_170to300 QCD_Pt_170to300_TuneCP5_13TeV_pythia8 103600 29979000 29979000.0 
QCD_Pt_1800to2400 QCD_Pt_1800to2400_TuneCP5_13TeV_pythia8 0.08745 5491000 5491000.0 
QCD_Pt_2400to3200 QCD_Pt_2400to3200_TuneCP5_13TeV_pythia8 0.005235 2997000 2997000.0 
QCD_Pt_300to470 QCD_Pt_300to470_TuneCP5_13TeV_pythia8 6831 56434000 56434000.0 
QCD_Pt_30to50 QCD_Pt_30to50_TuneCP5_13TeV_pythia8 106900000 19994000 19994000.0 
QCD_Pt_3200toInf QCD_Pt_3200toInf_TuneCP5_13TeV_pythia8 0.0001352 1000000 1000000.0 
QCD_Pt_470to600 QCD_Pt_470to600_TuneCP5_13TeV_pythia8 552.2 52760000 52760000.0 
QCD_Pt_50to80 QCD_Pt_50to80_TuneCP5_13TeV_pythia8 15700000 20000000 20000000.0 
QCD_Pt_600to800 QCD_Pt_600to800_TuneCP5_13TeV_pythia8 156.5 67850000 67850000.0 
QCD_Pt_800to1000 QCD_Pt_800to1000_TuneCP5_13TeV_pythia8 26.27 37982000 37982000.0 
QCD_Pt_80to120 QCD_Pt_80to120_TuneCP5_13TeV_pythia8 2339000 29991000 29991000.0 
SSWW SSWW_TuneCP5_13TeV-madgraph-pythia8 0.02794 1000000 1000000.0 
SingleTop_sch_Lep	ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8	3.36	13680000	8905562
SingleTop_tW_antitop_NoFullyHad	ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.56	8426707	8426271.0
SingleTop_tW_top_NoFullyHad	ST_tW_top_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.56	8498506	8498070.0
SingleTop_tch_antitop_Incl	ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8	80.95	69837000	65742626
SingleTop_tch_top_Incl	ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8	136.02	126035000	118103326
TG TGJets_TuneCP5_13TeV-amcatnlo-madspin-pythia8 2.967 1898800 386410.0 
TTG TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 3.697 3534208 1261452.0 
TTLJ_powheg TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8 365.34 355332000 352462632.0 
TTLL_powheg TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8 88.29 106724000 105859990.0 
TTTT TTTT_TuneCP5_13TeV-amcatnlo-pythia8 0.009103 10190000 4455774.0 
VBFHToTauTau_M125 VBFHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8 0.237 2849850 2845970.0 
VBFHToWWTo2L2Nu VBFHToWWTo2L2Nu_M125_TuneCP5_13TeV_powheg2_JHUGenV714_pythia8 0.0896 6793000 6783896.0 
VBF_HToZZTo4L	VBF_HToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8	0.001034	499000	498286
VHToNonbb VHToNonbb_M125_TuneCP5_13TeV-amcatnloFXFX_madspin_pythia8 0.952 884975 436375.0 
WGJJToLNu WGJJToLNu-private 0.6074 184000 184000.0 
WGToLNuG WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8 191.3 60290114 36194348.0 
WGToLNuG_MG WGToLNuG_TuneCP5_13TeV-madgraphMLM-pythia8 412.6 10302104 10302104.0 
WJets_MG WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8 61526.7 81254459 81254459.0 
WJets_amcatnlo	WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8	61526.7	26838734	18414290
WWG WWG_TuneCP5_13TeV-amcatnlo-pythia8 0.01398 1780000 1542542.0 
WWTo2L2Nu_DS WWTo2L2Nu_TuneCP5_DoubleScattering_13TeV-pythia8 0.1703 500000 500000.0 
WWTo2L2Nu_powheg WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8 12.178 7088000 7061394.0 
WWW WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8 0.2086 9980000 9046746.0 
WWZ WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8 0.1651 9947200 9022024.0 
WW_pythia WW_TuneCP5_13TeV-pythia8 118.7 15883000 15883000.0 
WZJJToLNu WZJJ-private 0.01780708628 188000 188000.0 
WZTo3LNu_amcatnlo WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8 5.213 9956670 6574220.0 
WZTo3LNu_mll0p1_powheg WZTo3LNu_mllmin0p1_TuneCP5_13TeV-powheg-pythia8 62.78 63628000 58879628.0 
WZTo3LNu_mllmin4p0_powheg WZTo3LNu_mllmin4p0_TuneCP5_13TeV-powheg-pythia8 4.66 2000000 1978356.0 
WZZ WZZ_TuneCP5_13TeV-amcatnlo-pythia8 0.05565 9870000 8958992.0 
WZ_pythia WZ_TuneCP5_13TeV-pythia8 51.11 7898000 7898000.0 
WpWpJJ_EWK WpWpJJ_EWK 0.02695 198000 198000.0 
WpWpJJ_QCD WpWpJJ_QCD 0.02612 196000 196000.0 
ZGToLLG_01J ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8 51.45 29885702 18727540.0 
ZZTo2L2Nu_powheg ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8 0.5644 40747000 40661454.0 
ZZTo4L_m_1toInf_powheg ZZTo4L_M-1toInf_TuneCP5_13TeV_powheg_pythia8 13.81 41469974 40503020.0 
ZZTo4L_powheg ZZTo4L_TuneCP5_13TeV_powheg_pythia8 1.256 98218000 97219884.0 
ZZZ ZZZ_TuneCP5_13TeV-amcatnlo-pythia8 0.01398 9686000 8630580.0 
ZZ_pythia ZZ_TuneCP5_13TeV-pythia8 16.91 2708000 2708000.0 
tHq	THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8	0.7464	29159984	29159984
tZq tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8 0.0758 9910000 2681980.0 
ttHToNonbb	ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8	0.2151	5027989	4923317
ttWToLNu TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 0.2043 7464889 4047173.0 
ttWToQQ TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 0.4062 688849 377735.0 
ttZToLLNuNu TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8 0.2529 14196000 6990534.0 
ttZToQQ TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8 0.5297 14154000 7031268.0 
ttZToQQ_ll TTZToQQ_Dilept_TuneCP5_13TeV-amcatnlo-pythia8 0.0568 6920000 3485506.0 
